,Growth,Rates_Long,Rates_Short,Dollar,Oil,Gas,Gold,Base_Metals,Agri_Index,Volatility
2025-08-07,-0.0007974800154801898,0.0056872438483202,0.0012098027015543522,0.002240794663060486,-0.007303767166286335,-0.00324991575540845,0.006005931605954196,-0.0028466886475828623,0.01000385652833935,-0.01192610360644697
2025-08-08,0.007799715348974834,0.009660671484249983,-0.0012083408475325186,-0.002235784728572998,0.0,-0.02510593574436426,0.011410772070393316,0.017585963551933093,-0.0015238444010416963,-0.08569704903117736
2025-08-11,-0.0025041278217863283,-0.0028004864295589904,0.0024196054031084824,0.003462989782377246,0.0012523170792080318,-0.012040138206226292,-0.025006541699268636,-0.007182148792667209,0.016024421631619212,0.07260728773380909
2025-08-12,0.01134543584661274,0.004680659693587774,-0.0031378255006243583,-0.0042630753477077565,-0.012351484159403792,-0.04942447821117302,-0.0012526304584333792,0.019215561653475266,0.006759305702155993,-0.09353848970853362
2025-08-13,0.0032300788824048965,-0.01281162411860659,-0.004842610259641833,-0.0026503785960716453,-0.008231702677522601,0.007122500107407337,0.002926348685807545,-0.005877836194779329,0.0033569621178926035,-0.01629326399026665
2025-08-14,0.00030309080129242716,0.012977891992668633,0.0004865827193523131,0.004190552713160711,0.0209097769622979,0.004596892195349422,-0.006996754798475169,-0.0039044900039204578,-0.011152388152968262,0.023464469148273492
2025-08-18,-0.0029976063534671304,0.011180958859162926,0.0026751353193585903,-0.0008142680005566172,-0.008442791170371278,0.017247456323077115,-0.0010494123444593217,-0.0016799578328341447,0.01578947632596761,0.0107889311014997
2025-08-19,-0.005858103118756786,-0.00898411278796829,-0.003153046564887463,0.0010186256084980805,-0.016871644997116464,-0.04290659791632068,-0.00549270615491293,-0.010769544814671184,0.004071010404862019,0.038692457142231795
2025-08-20,-0.0024316693228262354,-0.0013947098786204482,0.0012164567983807828,-0.0005087557145735389,0.013793113574950722,-0.005061438467363288,0.009054144046657164,0.0038557946639010687,0.00258022868921004,0.007707121895382807
2025-08-21,-0.004004181529308926,0.007914320265634656,0.0031591767113414715,0.00407250581253904,0.004904309093197945,0.02688949099974236,-0.0019441287880170854,0.0012426207943443401,0.0029411735831661456,0.05799877791100583
